market_date,article_count,mean_relevance,mean_intensity,top10_intensity,uncertainty_rate,escalation_share,weighted_direction,top_article,top_source,intensity_z,uncertainty_z,war_risk_index,high_news_day,low_news_candidate,risk_rank
2026-07-30,45,0.5085496642222221,0.26024453144444437,0.373963881,0.7168458781362007,0.7777777777777778,0.040477620598851856,Tehran tests a more confrontational strategy,Iran International,1.92700380528633,0.5701599473944291,1.65563503370795,True,False,1
2026-07-09,68,0.5108659072058822,0.2508206477941176,0.38136036999999995,0.3482298316889147,0.8529411764705882,0.03754381741695901,Renewed US-Iran hostilities highlight Tehran's deep mistrust of negotiations,lemonde.fr,2.1845191751291564,-0.47812902365801163,1.6519895353717229,True,False,2
2026-04-15,42,0.5213690180952382,0.2614182957142857,0.353264149,1.1450381679389312,0.6666666666666666,0.015234525205715834,"Pakistani delegation in Tehran aims to ease tensions, arrange U.S.-Iran talks",spectrumlocalnews.com,1.2063241501651747,1.787874854860031,1.322634291104146,True,False,3
2026-05-20,44,0.4803584270454545,0.23158198104545455,0.36476472,0.5132591958939264,0.6363636363636364,0.037673511247693664,Iran threatens to extend conflict ‘beyond the region’ if U.S. and Israel resume attacks,CNBC,1.6067267999181445,-0.00881016447305229,1.2836194070399052,True,False,4
2026-03-19,47,0.49777922276595743,0.2334405882978724,0.3441685120000001,1.4692378328741964,0.8085106382978723,0.039521321174632806,How striking Iran’s nuclear power plant may impact the entire region,CNN,0.8896514253073271,2.709850271953373,1.2536911946365363,True,False,5
2026-07-08,86,0.5002581627906978,0.23781515611627912,0.36593283000000004,0.3770028275212064,0.8023255813953488,0.031487411677587784,Why are the US and Iran fighting again? The feud that keeps threatening peace talks,KCRA,1.647395592728777,-0.396302921713091,1.2386558898404034,True,False,6
2026-06-29,72,0.5166505276388889,0.25427446847222224,0.36710185,0.31545741324921134,0.625,0.012752326043628862,Iran Risks Peace Talks With U.S. to Maintain Leverage Over Strait,The New York Times,1.6880960680020658,-0.5713288860518742,1.236211077191278,True,False,7
2026-03-02,113,0.5108764578761061,0.2409622056902655,0.366084937,0.35536602700781805,0.8672566371681416,0.04226118533971159,"Trump’s war on Iran: grave dangers and, at best, limited benefits",Bulletin of the Atomic Scientists,1.6526913337703266,-0.45783475019872466,1.2305861169765164,True,False,8
2026-09-02,51,0.48079340549019606,0.22016756307843133,0.36187798500000007,0.4862236628849271,0.7843137254901961,0.032083798597825466,The Iran Conflict,Ipsos,1.5062225429438942,-0.08569518169628147,1.1878389980158592,True,False,9
2026-08-25,81,0.5015314440740741,0.2342951664197531,0.35783985099999993,0.5120327700972862,0.7654320987654321,0.02820564981466525,"Iran vows retaliation after U.S. widens sanctions, fueling fears of escalated war",NBC News,1.3656313015474784,-0.012297936231290196,1.0900454539917246,True,False,10
2026-09-07,58,0.4845298727586207,0.22416695650000001,0.34754856700000003,0.9768009768009768,0.6379310344827587,0.0196436687122003,Trump’s blockade pushes Iran toward military escalation,CNN,1.0073310586325555,1.3094334150732267,1.06775152992069,True,False,11
2026-06-08,71,0.5090814856338028,0.2424286559154929,0.3647353,0.11675423234092236,0.7887323943661971,0.02521366698087552,What Iran and Israel’s escalation means for efforts to end regional conflict,PBS,1.6057025163451173,-1.1364110496385453,1.057279803148385,True,False,12
2026-06-18,68,0.4964004467647058,0.23038536882352942,0.351824229,0.718132854578097,0.3235294117647059,-0.012419716170200249,What's in the deal between the US and Iran?,BBC,1.1561920494692774,0.5738199161425261,1.039717622803927,True,False,13
2026-05-25,90,0.5199976004444445,0.253626816,0.35171635799999995,0.693541395752059,0.5111111111111111,-0.0010120941941945368,Iran Talks Bog Down Over Nuclear Program and Sanctions Relief,WSJ,1.1524364242719272,0.503885480792023,1.0227262355759463,True,False,14
2026-08-31,73,0.49542145136986293,0.227957905,0.353147268,0.4501969611705121,0.8082191780821918,0.0364995379436342,Dire Strait: Why Economic Threats Might Escalate the War in Iran,time.com,1.2022548337715988,-0.18814973958818285,0.9241739190996425,True,False,15
